Method,Forward,Backward,Forward,Backward,Forward,Backward,Forward,Backward,Forward,Backward,Forward,Backward
AutoDiff-unroll,0.0004,0.0003,0.0042,0.0003,0.0097,0.0003,0.0262,0.0003,0.0758,0.0005,0.2201,0.0008
AutoDiff-DDN-E,0.0004,0.0797,0.0042,0.1544,0.0102,0.2988,0.0275,0.5937,0.0762,1.1874,0.2258,2.4227
PI-unroll,0.0079,0.0167,0.0079,0.0167,0.0080,0.0169,0.0081,0.0173,0.0087,0.0172,0.0087,0.0175
PI-DDN-J,0.0067,0.0029,0.0067,0.0051,0.0069,0.0097,0.0069,0.0180,0.0070,0.0430,0.0069,0.5420
\rowcolor{lightgray} PI-DDN-E,0.0067,0.0068,0.0067,0.0061,0.0069,0.0033,0.0070,0.0059,0.0071,0.0113,0.0071,0.0413
PI-IFT-J,0.0067,0.0413,0.0067,0.0815,0.0072,0.1722,0.0074,0.3475,0.0071,0.7254,-,-
\rowcolor{lightgray} PI-IFT-E,0.0066,0.0007,0.0067,0.0010,0.0072,0.0013,0.0069,0.0023,0.0075,0.0043,0.0069,0.0152
SI-unroll,0.0594,0.0174,0.1830,0.0170,0.2686,0.0227,0.4603,0.0578,1.0639,0.1412,2.6325,0.4850
SI-DDN-J,0.0589,0.0028,0.1839,0.0050,0.2693,0.0087,0.4645,0.0184,1.0629,0.0456,2.5880,0.1575
\rowcolor{lightgray} SI-DDN-E,0.0585,0.0045,0.1838,0.0021,0.2693,0.0032,0.4650,0.0058,1.0628,0.0113,2.5828,0.0396
SI-IFT-J,0.0585,0.0422,0.1839,0.0831,0.2692,0.1652,0.4642,0.3367,1.0627,0.7071,-,-
\rowcolor{lightgray} SI-IFT-E,0.0585,0.0007,0.1839,0.0009,0.2693,0.0013,0.4643,0.0022,1.0625,0.0041,2.6076,0.0142
